,Daerah,UHH (tahun),HLS (tahun),RLS (tahun),Pengeluaran (ribu rupiah),IPM
106,Ogan Komering Ulu Timur,74.31,12.47,8.07,12,73.05
107,Ogan Ilin,73.2,12.41,8.08,11,72.01
108,Empat Lawang,70.81,12.1,7.66,10375,69.07
109,Penukal Abab Lematang llin,73.84,12.49,7.08,9,68.78
110,Musi Rawas Utara,73.01,11.7,7.5,11,69.63
111,Kota Palembang,75.37,14.45,10.92,15592,81.72
112,Kota Prabumulih,74.58,13.31,10.35,13494,78.07
113,Kota Pagar Alam,73.61,13.49,9.43,10,73.25
114,Kota Lubuklinggau,74.67,13.55,9.93,14211,78.36
115,Bengkulu Selatan,72.87,13.65,9.41,10657,74.06
116,Rejang Lebong,73.67,14.19,8.8,10848,74.43
117,Bengkulu Utara,73.03,12.91,8.11,11188,72.27
118,Kaur,72.74,13.14,8.41,9365,70.92
119,Seluma,72.71,13.32,8.13,8949,70.27
120,Mukomuko,73.71,12.86,8.56,11075,73.0
121,Lebong,72.59,12.9,8.26,12,72.95
122,Kepahiang,72.26,13.14,8.36,10044,71.38
123,Bengkulu Tengah,72.46,13.46,7.51,10114,70.81
124,Kota Bengkulu,74.43,16.06,11.83,14924,83.38
125,Lampung Barat,73.78,12.29,8.36,10593,71.72
126,Tanggamus,73.87,12.31,7.36,10,69.93
127,Lampung Selatan,74.22,12.64,7.77,11,71.55
128,Lampung Timur,73.95,12.97,8.14,11,72.44
129,Lampung Tengah,74.17,13.04,7.81,12,73.39
130,Lampung Utara,73.91,12.55,8.36,9,70.78
131,Way Kanan,74.11,12.43,7.74,9887,70.51
132,Tulangbawang,73.81,12.29,7.57,11552,71.56
133,Pesawaran,73.8,12.62,7.99,8633,69.46
134,Pringsewu,74.33,12.92,8.42,11016,73.11
135,Mesuji,73.71,11.81,7.11,8947,67.79
136,Tulang Bawang Barat,74.02,12.1,7.79,9162,69.38
137,Pesisir Barat,73.75,12.14,8.7,9102,70.4
138,Kota Bandar Lampung,74.53,14.72,10.97,13092,79.86
139,Kota Metro,75.14,14.77,11.0,12618,79.85
140,Bangka,73.03,13.11,8.32,13146,74.34
141,Belitung,72.52,11.9,8.98,14365,74.49
142,Bangka Barat,71.91,11.73,7.47,13105,71.13
143,Bangka Tengah,73.54,12.12,7.23,13643,72.36
144,Bangka Selatan,71.51,11.59,6.91,12627,69.67
145,Belitung Timur,73.57,11.66,8.9,12536,73.31
146,Kota Pangkal Pinang,75.01,13.19,10.5,16734,80.45
147,Karimun,74.58,12.61,8.69,12756,74.7
148,Bintan,74.82,13.44,8.92,14882,77.5
149,Natuna,74.15,13.93,9.08,15409,78.23
150,Lingga,73.45,12.63,7.35,12485,72.23
151,Kepulauan Anambas,73.5,13.05,7.4,12495,72.8
152,Kota Batam,74.98,13.34,11.19,1899,82.64
153,Kota Tanjung Pinang,74.68,14.15,10.65,16213,81.14
154,Kepulauan Seribu,74.89,12.66,9.03,13523,75.91
155,Kota Jakarta Selatan,76.02,13.66,11.75,24975,86.71
156,Kota Jakarta Timur,75.37,14.06,11.88,18712,84.26
157,Kota Jakarta Pusat,76.34,13.29,11.54,18202,83.29
158,Kota Jakarta Barat,75.81,12.87,11.23,21709,83.85
159,Kota Jakarta Utara,75.07,12.67,10.84,19617,81.85
160,Bogor,71.92,12.64,8.37,11153,73.02
161,Sukabumi,71.83,12.38,7.33,9482,69.71
162,Cianjur,70.79,12.03,7.22,8626,68.18
163,Bandung,74.27,12.73,9.1,11018,74.03
164,Garut,72.07,12.16,7.84,8685,69.22
165,Tasikmalaya,70.19,12.63,7.96,8562,69.38
166,Ciamis,72.57,14.29,8.09,9750,73.12
167,Kuningan,74.29,12.26,7.89,10011,70.99
168,Cirebon,72.76,12.41,7.64,11128,71.81
169,Majalengka,71.05,12.26,7.52,10340,70.76
170,Sumedang,73.19,13.01,8.73,11136,74.02
171,Indramayu,72.46,12.29,6.94,10580,70.19
172,Subang,73.24,11.91,7.45,11537,71.42
173,Purwakarta,71.74,12.18,8.13,12619,73.43
174,Karawang,72.9,12.2,8.04,12392,73.25
175,Bekasi,74.3,13.17,9.57,12123,76.13
176,Bandung Barat,73.1,11.91,8.23,9392,70.33
177,Pangandaran,72.17,12.3,8.04,9406,70.57
178,Kota Bogor,74.45,13.45,10.64,12656,78.36
179,Kota Sukabumi,73.11,13.6,10.37,11799,77.16
180,Kota Bandung,75.04,14.24,11.06,18236,83.29
181,Kota Cirebon,73.08,13.16,10.37,12506,77.45
182,Kota Bekasi,75.79,14.12,11.66,16479,83.06
183,Kota Depok,75.23,13.96,11.58,16279,82.53
184,Kota Cimahi,74.8,13.84,11.39,12883,79.69
185,Kota Tasikmalaya,72.92,13.49,9.54,11063,75.47
186,Kota Banjar,71.8,13.27,8.79,11356,74.45
187,Kabupaten Cilacap,74.73,12.67,7.39,11432,72.04
188,Kabupaten Banyumas,74.2,13.26,7.87,12492,73.96
189,Kabupaten Purbalingga,73.98,12.02,7.34,10964,70.51
190,Kabupaten Banjarnegara,74.5,11.82,6.86,10226,69.16
191,Kabupaten Kebumen,74.98,13.37,7.86,9734,71.88
192,Kabupaten Purworejo,75.37,13.53,8.46,11110,74.35
193,Kabupaten Wonosobo,74.01,11.8,6.89,11577,70.18
194,Kabupaten Magelang,74.44,12.61,7.82,10493,71.56
195,Kabupaten Boyolali,76.23,12.66,8.09,13716,75.41
196,Kabupaten Klaten,77.07,13.41,9.27,12968,77.59
197,Kabupaten Sukoharjo,77.86,13.91,9.84,12319,78.65
198,Kabupaten Wonogiri,76.56,12.52,7.67,10283,71.97
199,Kabupaten Karanganyar,77.72,13.71,9.02,12260,77.31
200,Kabupaten Sragen,75.97,12.92,7.87,13439,75.1
201,Kabupaten Grobogan,75.04,12.46,7.28,11083,71.49
202,Kabupaten Blora,74.71,12.51,7.08,10541,70.63
203,Kabupaten Rembang,74.77,12.15,7.72,11399,71.89
204,Kabupaten Pati,76.39,12.96,7.8,11385,73.59
205,Kabupaten Kudus,76.86,13.26,9.34,12088,76.71
206,Kabupaten Jepara,76.04,12.85,8.26,11306,73.85
207,Kabupaten Demak,75.6,13.34,8.27,11166,74.07
208,Kabupaten Semarang,75.95,13.05,8.07,12943,75.13
209,Kabupaten Temanggung,75.77,12.61,7.5,10108,71.33
210,Kabupaten Kendal,74.58,12.99,7.73,12755,73.86
211,Kabupaten Batang,74.85,12.15,7.07,10470,70.2
212,Kabupaten Pekalongan,73.99,12.44,7.47,11297,71.45
213,Kabupaten Pemalang,73.98,12.01,6.55,9587,68.08
214,Kabupaten Tegal,74.01,12.92,7.34,10537,71.12
215,Kabupaten Brebes,73.95,12.44,6.4,10993,69.71
216,Kota Magelang,77.22,14.4,11.2,13175,81.17
217,Kota Surakarta,77.63,14.9,11.0,15870,83.54
218,Kota Salatiga,77.93,15.44,11.24,16650,84.99
219,Kota Semarang,77.9,15.55,10.81,16420,84.43
220,Kota Pekalongan,74.6,12.87,9.29,14056,76.71
221,Kota Tegal,74.84,13.18,9.24,14013,77.06
222,Kulon Progo,75.35,14.48,9.18,10723,75.82
223,Bantul,74.64,15.61,9.79,16524,81.74
224,Gunung Kidul,74.76,13.39,7.32,10065,71.46
225,Sleman,75.26,16.77,11.01,16976,84.86
226,Kota Yogyakarta,75.52,17.62,12.11,19920,88.61
227,Kabupaten Pacitan,74.58,12.68,7.88,9681,70.94
228,Kabupaten Ponorogo,75.07,13.77,7.78,10658,73.18
229,Kabupaten Trenggalek,75.16,12.62,7.9,10465,71.96
230,Kabupaten Tulungagung,74.99,13.34,8.66,11565,74.65
231,Kabupaten Blitar,75.12,12.65,7.83,11499,72.84
232,Kabupaten Kediri,74.85,13.62,8.24,11952,74.68
