,Daerah,UHH (tahun),HLS (tahun),RLS (tahun),Pengeluaran (ribu rupiah),IPM
465,Kepulauan Sula,68.54,12.97,9.04,7718,67.49
466,Halmahera Selatan,70.25,13.03,8.17,78831,67.55
467,Halmahera Utara,71.74,13.68,8.65,8152,69.79
468,Halmahera Timur,71.36,12.87,8.66,865,69.48
469,Pulau Morotai,70.81,12.99,7.55,7141,65.93
470,Pulau Taliabu,67.04,12.87,7.97,6939,64.31
471,Kota Ternate,72.55,15.78,12.07,14042,81.79
472,Kota Tidore Kepulauan,72.2,14.48,9.97,9034,73.4
473,Fakfak,71.44,14.78,9.17,7851,70.85
474,Kaimana,68.96,12.5,8.8,8749,68.31
475,Teluk Wondama,65.32,11.9,7.27,849,63.84
476,Teluk Bintuni,67.75,12.44,8.51,10324,69.01
477,Manokwari,72.25,13.78,8.54,12566,74.52
478,Sorong Selatan,67.11,13.28,7.62,6727,63.98
479,Sorong,69.88,13.92,8.61,7984,68.89
480,Raja Ampat,66.98,12.11,8.24,8483,66.0
481,Tambrauw,65.7,12.36,5.71,5302,57.53
482,Maybrat,65.82,13.49,7.32,5669,61.29
483,Manokwari Selatan,68.09,12.56,6.96,5948,61.55
484,Pegunungan Arfak,67.71,11.79,5.51,5438,57.82
485,Kota Sorong,72.83,14.42,11.5,14133,80.11
486,Merauke,71.27,14.47,9.25,10747,74.0
487,Jayawijaya,69.79,12.84,5.98,8159,64.81
488,Jayapura,70.23,14.58,10.32,10671,74.74
489,Nabire,69.82,12.64,10.33,9381,71.36
490,Kepulauan Yapen,70.72,12.81,9.7,8091,69.62
491,Biak Numfor,70.75,14.22,10.54,10229,74.45
492,Paniai,69.49,10.53,4.79,6977,58.83
493,Puncak Jaya,67.77,7.51,4.23,5731,51.49
494,Mimika,72.83,12.96,10.47,12076,75.91
495,Boven Digoel,68.9,11.43,9.25,8396,67.32
496,Mappi,66.23,11.04,6.95,6821,60.71
497,Asmat,67.84,9.7,5.58,6057,56.85
498,Yahukimo,66.42,8.04,4.34,5351,51.19
499,Pegunungan Bintang,65.93,6.78,3.37,5849,48.51
500,Tolikara,67.03,9.02,3.68,5397,51.74
501,Sarmi,69.68,12.33,9.36,7204,67.0
502,Keerom,69.73,12.46,8.57,9545,69.25
503,Waropen,69.54,12.84,9.41,7335,67.67
504,Supiori,69.37,13.19,9.2,6259,65.84
505,Mamberamo Raya,68.75,11.83,6.28,5105,58.49
506,Nduga,63.88,4.33,1.71,4352,37.68
507,Lanny Jaya,67.19,9.27,3.71,4751,50.81
508,Mamberamo Tengah,68.93,9.62,3.63,4855,51.98
509,Yalimo,65.95,9.66,3.34,5015,50.87
510,Puncak,66.77,5.59,2.19,5975,44.71
511,Dogiyai,66.49,10.62,4.97,6182,56.74
512,Intan Jaya,66.68,7.69,3.27,614,50.39
513,Deiyai,66.52,9.85,3.27,5104,51.4
514,Kota Jayapura,71.76,15.26,11.84,15272,81.51
